TrialDate,TrialDateRE,TimeTrialStart,Trial,BugNumber,COMBO,ComboOrientation,OutsideTemperature,OutsideHumidity,DaysKBstarved,ColonyORpositiveBugNumber,Species,LifeStage,KBsex,Engorgement,TcruziStatus,qPCRconfirmed,cultureConfirmed,DogWeightkg,DogHeightcm,ChickenWeightkg,ChickenHeightcm,HumanWeightkg,HumanHeightcm,LeftHostMINtemp,LeftHost MAXtemp MAX,LeftHostAVGtemp,LeftHostMMINHumidity,LeftHostMAXHumidity,LeftHostAVGHumidity,RightHostMINtemp,RightHostMAXtemp,RightHostAVGtemp,RightHostMINHumidity,RightHostMAXhumidity,RightHostAVGhumidity,AverageDogTemp,AverageDogHumidity,AverageDogCO2,AverageChickenTemp,AverageChickenHumidity,AverageChickenCO2,AverageHumanTemp,AverageHumanHumidity,AverageHumanCO2,AverageRoomTemp,AverageRoomHumidity,Participate,Outcome,dog,chicken,human,empty,NoChoice,NeverLeft,OutcomeNumeric,L0R1,VIDEODurationBeforeBugDropped,VIDEOtrialLength,VIDEOdurationUntilKBleftStartingPoint,KBParticipatingsec,KBactivesec,VIDEOdurationTimeBugInOlfactommmeter,VIDEOchoiceLR,TimeSpentNearDog,TimeSpentNearChicken,TimeSpentNearHuman,TimeSpentNearEmpty,TimeSpentOutcome,TimeSpentMost,VIDEOdurationLEFTsec,VIDEOdurationRIGHTsec,VIDEOdurationBOTHsec,VIDEOdurationLEFTmin,VIDEOdurationRIGHTmin,VIDEOdurationBOTHmin,VIDEOkbOnBothSidesY1N0,VIDEOporportionNearDOG,VIDEOporportionNearCHICKEN,VIDEOporportionNearHUMAN,VIDEOporportionNearEMPTY,VIDEOporportionNearEMPTYleft,VIDEOporportionNearEMPTYright,VIDEOmoreThan50nearDOG,VIDEOmoreThan50nearCHICKEN,VIDEOmoreThan50nearHUMAN,VIDEOmoreThan50nearEMPTY,VIDEOmorethan50nearEMPTYleft,VIDEOmoreThan50nearEMPTYright
220427,4/27/22,5:21:00 PM,39,51,E vs H,H vs E,82,44,27,29.24,T. gerstaeckeri,5,NA,0,1,1,1,NA,NA,NA,NA,81.63265306,175.26,21.3,25.5,23.4,51,52,51.5,19.9,20.1,20,62,63,62.5,NA,NA,NA,NA,NA,NA,23.4,51.5,440.1428571,20.55,61.5,1,No choice,NA,NA,0,0,1,0,2,NA,0:06:00,1:00:00,0:23:45,1425,3240,0:54:00,NA,NA,NA,57.45,0,Human,Human,57.45,0,57.45,0:00:57,0:00:00,0:00:57,0,NA,NA,100,0,NA,NA,NA,NA,1,0,NA,NA
220428,4/28/22,12:33:00 PM,57,52,E vs D,E vs D,80,62,28,29.25,T. gerstaeckeri,5,NA,0,0,0,0,147.735,63.5,NA,NA,NA,NA,20.9,21.3,21.1,63,71,67,19.5,21.1,20.3,80,88,84,20.3,84,440.6666667,NA,NA,NA,NA,NA,NA,21.25,75.7,1,Dog,1,NA,NA,0,0,0,5,1,0:05:03,1:00:00,0:10:53,653,770,0:12:50,R,122.47,NA,NA,0,Dog,Dog,0,122.47,122.47,0:00:00,0:02:02,0:02:02,0,100,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA
220607,6/7/22,2:04:00 PM,52,55,D vs C,D vs C,95,44,69,29.22,T. gerstaeckeri,5,NA,0,1,1,NA,147.735,63.5,1.61,45.72,NA,NA,24.2,26.8,25.5,70,80,75,54,25.5,39.75,24.6,65,44.8,48.4,75,908.5,39.75,44.8,626,NA,NA,NA,27.45,79.5,1,Chicken,0,1,NA,NA,0,0,4,1,0:05:48,1:00:00,0:03:00,180,198,0:03:18,R,0,18.46,NA,NA,Chicken,Chicken,0,18.46,18.46,0:00:00,0:00:18,0:00:18,0,0,100,NA,NA,NA,NA,0,1,NA,NA,NA,NA
220609,6/9/22,9:54:00 AM,67,57,D vs C,D vs C,85,67,71,29.1,T. gerstaeckeri,Adult,NR,0,1,1,1,24.255,32,1.61,45.72,NA,NA,28.1,29.2,28.65,63,67,65,28.5,28.7,28.6,47,51,49,28.65,65,1477.5,28.6,49,378.2,NA,NA,NA,30,71.9,1,Dog,1,0,NA,NA,0,0,5,0,0:05:31,1:00:00,0:06:02,362,393,0:06:33,L,30.75,0,NA,NA,Dog,Dog,30.75,0,30.75,0:00:30,0:00:00,0:00:30,0,100,0,NA,NA,NA,NA,1,0,NA,NA,NA,NA
220708,7/8/22,3:37:00 PM,46,61,E vs C,E vs C,102,31,32,32,T. gerstaeckeri,Adult,Female,1,0,0,0,NA,NA,1.61,45.72,NA,NA,21.9,22.4,22.15,46,47,46.5,22.3,22.8,22.55,32,33,32.5,NA,NA,NA,22.55,46.5,525,NA,NA,NA,21.16666667,57.53333333,1,Chicken,NA,1,NA,0,0,0,4,1,0:06:17,1:00:00,0:03:14,194,461,0:07:41,R,NA,57.77,NA,0,Chicken,Chicken,0,57.77,57.77,0:00:00,0:00:57,0:00:57,0,NA,100,NA,0,NA,NA,NA,1,NA,0,NA,NA
220720,7/20/22,3:46:00 PM,86,69,E vs D,E vs D,104,31,19,32,T. gerstaeckeri,NR,NR,0,0,0,0,99.225,53.975,NA,NA,NA,NA,21.6,22.5,22.05,44,46,45,21.8,24.3,23.05,53,59,56,23.05,56,1248.333333,NA,NA,NA,NA,NA,NA,21.725,56.075,1,Dog,1,NA,NA,0,0,0,5,1,0:06:46,1:00:00,0:06:33,393,413,0:06:53,R,21.21,NA,NA,0,Dog,Dog,0,21.21,21.21,0:00:00,0:00:21,0:00:21,0,100,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA
220808,8/8/22,11:21:00 AM,51,71,D vs H,D vs H,91,51,38,32,T. gerstaeckeri,5,NA,0,0,0,0,NA,NA,NA,NA,68.02721088,170.18,22.8,24.2,23.5,55,61,58,20.5,22.6,21.55,73,76,74.5,23.5,58,1202.5,NA,NA,NA,21.55,74.5,1587.5,22.06666667,66.6,1,Dog,1,NA,0,NA,0,0,5,0,0:05:21,1:00:00,0:06:35,395,420,0:07:00,L,24.49,NA,0,NA,Dog,Dog,24.49,0,24.49,0:00:24,0:00:00,0:00:24,0,100,NA,0,NA,NA,NA,1,NA,0,NA,NA,NA
220808,8/8/22,12:15:00 PM,53,72,D vs H,H vs D,93,44,38,32,T. gerstaeckeri,5,NA,1,0,0,0,143.325,54.61,NA,NA,68.02721088,170.18,21.5,23.3,22.4,49,54,51.5,20.4,22.1,21.25,61,69,65,21.25,65,1127,NA,NA,NA,22.4,51.5,1522,20.58333333,61.65,1,Dog,1,NA,0,NA,0,0,5,1,0:04:35,1:00:00,0:37:26,2246,2314,0:38:34,R,67.88,NA,0,NA,Dog,Dog,0,67.88,67.88,0:00:00,0:01:07,0:01:07,0,100,NA,0,NA,NA,NA,1,NA,0,NA,NA,NA
220808,8/8/22,6:40:00 PM,58,75,E vs H,E vs H,98,35,38,32,T. gerstaeckeri,5,NA,0,0,0,0,NA,NA,NA,NA,68.02721088,170.18,22.4,23.1,22.75,42,47,44.5,21.2,24.5,22.85,56,62,59,NA,NA,NA,NA,NA,NA,22.85,59,1470,21.74,57.38,1,Empty,NA,NA,0,1,0,0,3,0,0:04:13,1:00:00,0:24:45,1485,1550,0:25:50,L,NA,NA,0,65.17,Empty,Empty,65.17,0,65.17,0:01:05,0:00:00,0:01:05,0,NA,NA,0,100,NA,NA,NA,NA,0,1,NA,NA
220809,8/9/22,2:55:00 PM,62,79,E vs C,E vs C,99,35,39,49,T. gerstaeckeri,5,NA,0,0,0,0,NA,NA,1.61,45.72,NA,NA,21.4,22.2,21.8,48,50,49,20,20.3,20.15,61,62,61.5,NA,NA,NA,20.15,49,561.255,NA,NA,NA,20.62857143,60.65714286,1,Empty,NA,0,NA,1,0,0,3,0,0:06:00,1:00:00,0:46:00,2760,2940,0:49:00,L,NA,0,NA,184.69,Empty,Empty,184.69,0,184.69,0:03:04,0:00:00,0:03:04,0,NA,0,NA,100,NA,NA,NA,0,NA,1,NA,NA
